Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
Supervisor,5 years,,,,63.0,11706855
cab driver,10+ years,,,,,47893253
Assistant Professor,2 years,,,,,65460429
Manager and Esthetician,< 1 year,,,,72.0,65511541
Correction Lieutenant,10+ years,,,,8.0,47562534
Pharmacy tech,10+ years,,,,24.0,53825306
Receptionist,2 years,  Borrower added on 03/02/14 > I have bigger and better things planned for my life and I am trying to consolidate my debt to be able to achieve those things.<br>,,,,14510070
Registered Nurse,< 1 year,,,,35.0,35854735
INVESTOR,10+ years,,,,61.0,58670282
aldine ISD,10+ years,  Borrower added on 01/23/12 > to pay off my debts from different cards. with one loan i can concentrate paying one and hopefully pay it off before 3 years!<br>,,,,1351099
sr mechanical/technical associate,4 years,,,,,67748003
Senior Data Scientist,< 1 year,,,,,71166060
Mailroom,1 year,,,,,47771210
Glendale Memorial Hospital,6 years,,,,,8078045
Correctional Officer,10+ years,,,,7.0,49302675
Driver,3 years,,,,34.0,33950485
Senior Analyst ,10+ years,,,,,71182180
Management,5 years,,,,48.0,9432640
Project Engineer,9 years,,,,3.0,16552573
Attorney,4 years,,,125.1,13.0,73518138
Hausekeeping,6 years,,,,50.0,71239776
Office Manager,8 years,,,,32.0,45401029
,,,,,46.0,53383097
System Administrator,8 years,,,,72.0,32658336
Physical Therapy,2 years,,,,12.0,18475534
atoz awnings,6 years,  Borrower added on 09/17/13 > consolidating a few credit cards. I don't have alot of debt I just want to get rid of the debt I do have. I  just recently paid off 2 other credit cards. want to get out of debt.<br>,,,,8999108
RN,10+ years,,,,,25095682
implementation specialist,< 1 year,,,,81.0,55477528
PARTS SALES,7 years,,,,56.0,36966326
Business Manager,10+ years,,,,2.0,64717406
Firefighter,10+ years,,,,,60907291
Physician,3 years,,,,47.0,45410933
Solutions Manager,6 years,,,,23.0,55258302
,,,,,,55316807
Product Manager,5 years,,,,79.0,38770201
Administrative Coordinator,5 years,,,,22.0,23323181
Client Representative,< 1 year,,,,31.0,46857045
Dietary,7 years,,,,8.0,67209507
,,,,,56.0,13680159
Professional Network Support,10+ years,,,,52.0,50227442
Machinist,3 years,,32.61,74.9,,72159238
Director of Culinary Services,1 year,,,,,15610138
driver,10+ years,,,,57.0,45809894
Associate real estate agent,< 1 year,,,,41.0,60837013
Edgecombs Imported Auto,10+ years,  Borrower added on 06/30/13 > pay off high interest credit cards<br>,,,,7587492
Floor Manager,4 years,,,,,44028023
Sales Manager ,10+ years,,,,,12498763
Housekeeping/Maintenance Lead,3 years,,,,55.0,49585455
,,,,85.2,15.0,72677253
Shift supervisor ,5 years,,,,,55329026
Service Office Manager,10+ years,  Borrower added on 12/02/13 > Currently I have 2 credit cards with higher interest rates.  I would like to lower the interest rates and make higher payments in order to become debt free sooner than later. My goal is to be debt free by the end of 2015.<br>,,,,11020634
,,,,,,26316699
,< 1 year,Need to refresh myself to better serve others.,,,,448548
Clerk,10+ years,"  Borrower added on 01/07/14 > I am working on getting my bills under control to establish a better credit score, I make good money and need to be able to build up savings to pay cash on any purchases in the future.<br>",,,22.0,10309461
mate,4 years,,,,1.0,40544826
Area Director,10+ years,,,,,69918828
human resource director,10+ years,,,,,9869465
receptionist,10+ years,,,,22.0,71044961
Sr Application support administrator,1 year,,,,47.0,67078882
Grand Canyon Railway,5 years,  Borrower added on 03/06/13 > To consolidate my credit card payments into one payment.<br>Thank you for your consideration<br>,,,64.0,4587326
Town Clerk,6 years,,,,32.0,61415747
John C Lincoln,< 1 year,,,,64.0,8331470
Havoc tech,< 1 year,,,,67.0,63088753
Specialist,1 year,,,,,64802918
Procurement Agent,10+ years,,,,43.0,65562470
Randstad,< 1 year,  Borrower added on 09/06/13 > The purpose of this loan is to reduce and eliminate my current debt.  In doing this I will improve my credit score and ultimately realize the American dream of home ownership.<br>,,,26.0,6798029
Executive,10+ years,,,,,49565738
,,,,,,59610530
Configuration Analyst,1 year,,,,23.0,52495899
pipefitter,10+ years,,,,,33169339
,,,,,37.0,35784889
BHC,7 years,,,,40.0,53303087
Application engineer,3 years,,,,13.0,56278014
President,10+ years,,,,,68449925
Home Health Business Office Manager,3 years,,,,,70246611
Lpn,2 years,,,,,64372659
Sr. Spec Analyst,10+ years,,,,,14399069
,6 years,  Borrower added on 01/05/12 > This loan is to assist my charter vessel business in getting through this Winter. Thanks for your consideration.<br>,,,69.0,1332108
REGISTERED NURSE,10+ years,,,,,61587356
QVC,5 years,  Borrower added on 12/19/11 > I wish to pay off credit cards.<br>,,,,1266605
surgical technician,10+ years,,,,17.0,44025974
SUPERVISOR RADIOLOGY,10+ years,,,,,18624929
Software Enginner,7 years,,,,28.0,49913803
relationship  mgr,10+ years,,,,26.0,49957036
team member,10+ years,,,,,22090418
"Vice President, Sales",4 years,"  Borrower added on 02/06/14 > Looking to consolidate a couple of high-interest credit cards, always make on-time payments but just looking to lower the interest and have one payment.  Thank you.<br>",,,,13696956
Supervisor of hospital billing,4 years,,,,,61476324
Principal Clerk,10+ years,,,,,34621851
Martin Door Manufacturing,10+ years,,,,37.0,2838962
Security Officer,1 year,,,,,43287011
Teacher,10+ years,,,,10.0,13320794
,,,,,23.0,43828490
Director of Communications,1 year,,,,12.0,57334980
National Relationship Manager,1 year,,,,7.0,67733135
JS Technologies Inc.,2 years,,,,,5906809
Field Service Mechanic,10+ years,,,,,64193253
Driver,3 years,,,,32.0,49778778
Bank of America Home Loans,1 year,"  Borrower added on 11/17/11 > I will be using these funds to consolidate my credit card debts. The idea of paying one lender at a lower interest rate seemed more beneficial for my current financial situation.<br><br>As far as my credit history goes, all my accounts have been in good standing and I have never missed a single monthly payment.<br><br>I've also just received a promotion into a management position two months ago. Thus, this should help me balance my finances better.<br><br>Originally, I have planned everything before engaging into making this loan request and I plan to pay the full amount off by the end of year 2012. <br><br>",,,,1254791
Team Lead,5 years,,,,76.0,55486327
Accounting Clerk,3 years,,,,65.0,24676993
IPC | a Walsworth Company,< 1 year,"  Borrower added on 12/28/10 > This loan is consildate 4 credits with average APR's of over 25%.<br/> Borrower added on 12/29/10 > -The loan will allow us to consildate the balances of these 4 credit cards and close 3 of the 4 immediately.  I must have (1) card open for business travel and expenses, required by my employer.<br/>-The monthly minimum for these 4 accounts combinded is in-line with the monthly payment of the loan requested.  Therefore, this loan does not affect our budget.<br/>-I have been working in the same industry for over 20 years and mobility is not an issue. Additionally, I move to my current employer due to their strong financial standing and plan to be with them for many years ahead.<br/>",,,,819844
aviation mechanic,7 years,,,,,37436524
Senior Clerk,3 years,,,,37.0,15449249
paramount meadows nursing center,6 years,,,,,6345377
"DataPoint, Inc.",1 year,I am in a continuing effort to consilidate date at lower rates.,,,,349168
Police officer ,10+ years,,,,,46476534
Cooler Inventory,10+ years,,,,,64845383
senior photo editor,< 1 year,,,,,67860525
Executive Assistant/Office Supervisor,5 years,,,,,40841091
,,,,,,49726422
,,,,,4.0,67725976
Suoervisor,10+ years,,,,8.0,57295237
Teacher,10+ years,,,,8.0,10359478
Industrial Engineering Analyst,5 years,,,,,57641728
Medical Secretary,10+ years,,,,3.0,28200231
Electronics Technician,< 1 year,,,,,14899012
Software Engineer III,9 years,,,,9.0,16712365
U S Postal Service,10+ years,"  Borrower added on 07/16/12 > Almost there, thanks everyone!<br>",,,,1644647
Assistant Principal,2 years,,,,,31107000
Computer Technician,6 years,,,,,37567570
White River Scool Dist,10+ years,  Borrower added on 07/04/12 > pay down some debt<br>,,,72.0,1650597
Schwan's,4 years,"  Borrower added on 09/30/12 > I am going to pay off my 401K loan and request another loan, at an increased amount. The loan I am requesting will be repaid within 30-45 days. This is the reason I requested a short term loan.<br>Thanks<br>",,,26.0,1848399
Director of Programming,1 year,,,,,66782870
Maintenance,4 years,,,39.5,,72198932
teacher,10+ years,,,,24.0,70689734
Investigator,3 years,,,,42.0,49801064
"Charles Schwab Investment Mgmt.,Inc.",10+ years,,,,8.0,6330585
truck driver,9 years,,,,71.0,14429582
Customer Service ,3 years,,,86.2,81.0,72219157
Accountant for Accounts Payable,10+ years,,,,,64596008
American Pipe Inc.,7 years,,,,,8319332
Resource Specialist,6 years,,,,,59782013
Canyons School District,10+ years,,,,18.0,3617319
Educator,9 years,,,,,40721118
Lead staff reporter,7 years,,,,4.0,35774706
Omni-Sil Technologies,2 years,  Borrower added on 09/12/12 > My fiance and I are looking to receive some help for some of the wedding expenses that we are incurring at the moment.<br>,,,73.0,1801545
Flight Attendant,10+ years,,,,,64871841
"Director, HR",8 years,,,,40.0,60082063
locomotive engineer,10+ years,,,,,28590935
Accounts Receivable,1 year,,,,,31067831
Ericsson Services Inc,7 years,  Borrower added on 02/01/13 > I want to close and pay off my high interest credit cards into one consolidated debt that I know will be paid off in certain amount of time so I can get out of debt faster.<br>,,,41.0,4064811
Wrap Service Coordinator,5 years,"  Borrower added on 01/25/14 > I would like to consolidate three of my high interest credit cards that equal $14,000.  All three cards are over 26% interest.  It makes it impossible to pay off, and this consolidation could really help me get back on track in the next couple of years.  Thank you for your consideration.<br>",,,68.0,13026856
staff pharmacist,6 years,,,,53.0,65073724
International Rescue Committee,< 1 year,,,,57.0,1033433
Orderfiller,7 years,,,,70.0,53412655
U.S. Department of Homeland Security,2 years,"  Borrower added on 07/26/10 > I am seeking this debt consolidation loan in order to expedite my return to a debt-free status by converting my high-interest credit card debt into a lower-interest personal loan.  Despite my credit score, which has prevented me from receiving a personal loan from a bank due to the current financial climate, I believe my credit report shows me to be a responsible user of credit with a 12-year record of timely payments.  I have always honored my debts by paying them on time, and I have never borrowed more than I could afford.  I currently pay $536 a month for all of my revolving credit accounts, and I could easily afford $700 a month for a personal loan, which is in line with this loan application.  I am a federal employee with 2-years of service, which means that I have completed my probationary period and have achieved permanent status.  I was promoted after 16-months of service, and I look forward to a long federal career.<br/>",,,,712900
labor,1 year,,,,16.0,11040105
E.F.MILLE & COMPANY,7 years,  Borrower added on 09/24/12 > LOAN IS FOR PAYING OFF HIGH INTEREST CARDS<br>,,,,1830129
Counter Clerk ,3 years,,,46.3,29.0,72118542
Lead Engineer,5 years,,,,24.0,26298246
,,,,,10.0,35774253
Sales Engineer,< 1 year,,,,10.0,65581257
"Director, Legal Services",1 year,,,,59.0,22692092
,,,,,69.0,31357317
Director of Resource Planning,3 years,,,,,14509329
Cashier,9 years,,,,,37596611
Kreisler Industrial Corporation,10+ years,,,,14.0,2637822
Serves/Bartender,10+ years,,,,49.0,36024682
,10+ years,  Borrower added on 07/09/10 > I am a small business man with 18 yrs. of successful experience. I am single with no children. I am trying to purchase a motorcycle. I would rather finance this than to pay outright.<br/>,,,,697626
Machinist,10+ years,,,,,68350759
Business Development,10+ years,,,,,31817644
material handler,< 1 year,,,,18.0,19787434
,2 years,"  Borrower added on 04/28/13 > I used credit cards and a line of credit to supplement personal income while starting my company. My credit card debt is between 20%-24% APR. I would prefer to pay this all off with a single loan and lower my interest rate. I would prefer to pay my peers the interest, not the credit card companies.<br>",,,,5986827
Program Coordinator I ,5 years,,,,77.0,61059542
,,,,,23.0,37557849
Radiation Therapist,10+ years,,,,5.0,31417136
Longshoreman,10+ years,,,,,59760419
Advanced Math and Science Academy Charte,4 years,,,,,2432891
Laborer,2 years,,,,,58870233
,5 years,"  Borrower added on 09/26/11 > A few car and house repairs a few years back resulted in my credit balance being higher than I could pay back in full on a monthly basis.  The totals began to climb and the interest rates are not that good. I really just want to streamline my budget, have a much better interest rate, pay one person instead of 2, and wipe out this debt once and for all.  I carry no other debt beyond a mortgage and one car loan.  My plan is to start saving and ensuring that I am living within my means.  This will be the first step towards regaining that control.  Thank you for your time.<br/>",,,,1109511
Marketing Media Manager,1 year,,,,40.0,40563722
Manager ,10+ years,,,,61.0,13308509
Senior Pastor,7 years,,,,,58799504
Machinist,10+ years,,,,23.0,60738136
Sales Associate,< 1 year,,,,62.0,37756673
Elementary Teacher,10+ years,,,,,49556054
operator,4 years,,,,,64986144
Sr. Product Manager,7 years,,,,,45452260
Behavior Analyst,4 years,,,,,66522168
Staff RN,7 years,,,,,23373741
Teacher,10+ years,,,,13.0,30035069
Department Leader,6 years,,,,,14247272
Senior SAP Developer,2 years,,,,,47914108
Primary Care Coordinator - Referrals,10+ years,,,,,71075471
,,,,,29.0,43909132
Accounting Manager,1 year,,,,47.0,42455412
Harrahs Entertainment Inc,10+ years,  Borrower added on 08/16/13 > My son needs the money to pay a debt.<br>,,,40.0,8447515
technician,10+ years,,,,56.0,56348437
Staff RN,1 year,"  Borrower added on 03/14/14 > Quite simple pay off credit cards, and pay off IRS (have already made withholding changes to prevent owing next year)<br>",,,20.0,14998416
"Manager, Data Integration",7 years,,,,11.0,59679983
Police Officer,10+ years,,,,52.0,21037964
superentendent ,10+ years,,,,7.0,64383452
Buyer,10+ years,,,,60.0,41811839
SkillPath,5 years,,,,12.0,8538501
Service Technician,5 years,,,,,16762662
Owner,2 years,,,,77.0,65487136
Controller,5 years,,,,30.0,35023510
Underground Miner,6 years,,,,,17502665
BBU,6 years,  Borrower added on 03/18/13 > I need consolidate My cr&eacute;dit cards because in 2 years My son Will go to The college.<br><br> Borrower added on 03/18/13 > I need consolidate My cr&eacute;dit cards because in 2 years My son Will go to The college.<br>,,,31.0,4851442
QinetiQ-NA,10+ years,,,,80.0,1827762
Ecumen,< 1 year,"  Borrower added on 09/21/11 > Any monies received will go towards fixing an ongoing problem of a leaking roof in my entryway. Once this leak is fixed, I can start work on replacing the insulation under the roof as well as between the walls and floorboards. <br/><br/>I pride myself on being reliable and trustworthy.<br/>",,,55.0,1107894
front end mgr,10+ years,,,,37.0,60899091
Professor,< 1 year,,,,,70444363
owner,2 years,,,,21.0,23352236
Microbiologist,2 years,,,,,34050368
Southeast Regional Director ,1 year,,,,,67817204
,,,,,75.0,61954304
Dispatcher,2 years,,,,,36074224
Line Worker,5 years,,,,19.0,46426202
,,  Borrower added on 10/03/13 > payoff credit cards<br>,,,,9032668
owner,10+ years,,,,,58741693
Maitre D',10+ years,,,,,59759375
General Warehouse,2 years,,,,,23422943
Draftsman/Office manager,10+ years,,,,,9887501
Network Site Tech,10+ years,,,,,68849901
Manager,10+ years,,,,,66832476
Manufacturing Engineer,< 1 year,,,,38.0,42555638
,,,,,27.0,45299894
Firefighter,10+ years,,,,45.0,18334267
The Oklahoman,6 years,  Borrower added on 06/16/12 > This loan is to consolidate all my debt except my car loan and student loan into one payment that will give me a clear end in sight to my debt. I am getting married soon and don't want to bring all this credit card debt into it. This will help me achieve that goal. Thank you for your consideration!<br>,,,,1594557
physician,10+ years,,,,6.0,51351048
Office Manager,10+ years,,,,,63456017
Mechanic,10+ years,,,,39.0,15088444
Account Manager,10+ years,,,,,19005256
processor ,9 years,,,,,65670131
arnot health,10+ years,,,,,8318853
Sales,2 years,,,,,59652605
Pebble Creek Country Club,4 years,  Borrower added on 04/07/13 > Trying to get a loan with a low interest rate to pay off debt that I already have at a higher rate.  I am also trying to pay my debt off faster so that I may purchase a house within the next 3-4 years.<br>,,,,5486887
Nuvasive spine,2 years,,,,,5472754
Tactical Response Manager,2 years,,,,,38750416
owner ,10+ years,,,,,67792753
Manager,4 years,,,,48.0,49931573
Medical Biller,3 years,,,,81.0,51894165
Professional ,6 years,,,,43.0,10747265
Senior CAD Designer,10+ years,,,11.9,,72768172
Assembler,5 years,,,,,64587432
Retail Sales Representative,5 years,,,,,15960050
diesel mechanic,4 years,,,,37.0,23543588
officer,10+ years,,,,,37597421
Customer Service Staff,10+ years,,,,,49781142
manager,10+ years,,,,60.0,43448297
inventory coordinator,8 years,,,,,42385024
acct salesman,8 years,,,,,30044317
Family Liaision,3 years,,,,48.0,66482096
United States Marine Corps,6 years,,,,,2387039
American Pool Management,10+ years,  Borrower added on 01/08/13 > I am looking to consolidate my high interest credit card debt.  I have been steadily employed at my job for over ten years.  Looking forward to getting this done.<br>,,,18.0,3740115
SERVICE ADVISOR,< 1 year,,,,,31236329
Machinist,5 years,,,,,65619794
Bechtel,10+ years,  Borrower added on 11/03/12 > The purpose of this loan is to consolidate all of my revolving dept.<br>,,,36.0,2116932
Store Manager,10+ years,,,,9.0,17342882
Satellite Dialysis,1 year,  Borrower added on 08/16/13 > Pay then close.<br>,,,,8448723
Loan Officer Assistant,4 years,,,,,70243884
,,,,,45.0,65560485
Project Manager,2 years,,,,,61048008
Therapist,< 1 year,  Borrower added on 12/28/13 > Moving cost associated with relocating to a rental closer to work in order to save money on commute costs.<br>,,,,11919969
Registered nurse,5 years,,,,,32247120
Operations Manager,8 years,,,,,63049873
SHERIFF,3 years,  Borrower added on 02/26/14 > MY LOAN WILL BE USED TO CONSOLIDATE MY OTHER DEBT INTO ONE LOAN.<br>,,,,14408191
Columbia University,5 years,,,,,8733475
Truck driver/ Diesel technician,< 1 year,,,,6.0,49881509
Analyst,1 year,  Borrower added on 02/19/14 > I am on a mission to eliminate my debt by December 2017!  This loan will serve as an important stepping stone to help me reach my goal.<br>,,,59.0,14197146
Loan Quality Control Officer,1 year,,,,,14510650
Sr. Software QA Engineer,10+ years,,,,,67858831
IT Specialist,7 years,,,,42.0,12496996
machinist,9 years,,,96.0,,73466641
"Sales Manager, Financial Advisor",5 years,,,,,43426397
Physical Therapist,1 year,,,,40.0,50810942
Washington gas,< 1 year,  Borrower added on 07/13/12 > i am getting married within this budget and will pay back as planned. my plan to pay back is to set up automatic once i receive my pay check by weekly. thank for your support<br>,,,,1669927
Psychologist,2 years,,,,,64242583
Operations Manager,5 years,,,,,53945682
process mold technician ,7 years,,,,5.0,51954445
Gwinnett county public schools,10+ years,  Borrower added on 07/18/12 > This loan is to once and for all pay off outstanding debt in a three year period to be debt free. And to do some repairs to our home.<br>,,,,1683226
Documentation Specialist,< 1 year,,,,,40393499
,,,,,42.0,66979581
Director of Technical Operations,2 years,,,,50.0,43219294
VASSO SYSTEMS,10+ years,,,,,1899528
Replenishment Manager,4 years,,,,54.0,11246950
Sr. Performance Specialist,4 years,,,,,66524845
Instrument Transformers Inc,9 years,  Borrower added on 02/23/13 > Trying to get out of credit card debt. With this loan approve I'll be able to get my finance in check.<br>,,,,4309382
Nurse Assistant,10+ years,,,,,64332823
,,,,,25.0,37706868
Boston College,10+ years,  Borrower added on 01/30/10 > I need to consolidate credit cards at a lower so as to better manage my finances. I also want to have a reasonable fixed period (3 years) so that I can pay off the entire amount as quickly as possible.<br/>,,,,611871
,,,,,,49749882
south oaks hospital,< 1 year,"  Borrower added on 03/17/10 > I wish to change the amount of the loan to 10,000.00 instead of 20,000.00<br/>",,,68.0,634035
Municipal Credit Union,7 years,,,,,1738298
driver,10+ years,,,,15.0,13887700
Project Manager,7 years,,,,,30015560
service manger,10+ years,,,,,30935583
VP,10+ years,,,,,35113643
Account Management,2 years,,,,50.0,23293057
Director,9 years,,,,6.0,48562806
QC Technician,10+ years,,,,56.0,64945306
Retail Sales Associate,4 years,,,,,34791688
Bank Of America,1 year,  Borrower added on 10/26/12 > Refinancing high interest credit cards into a loan that can be repaid in a reasonable term.<br>,,,,1962138
mi windows,10+ years,,,,,1426049
Sr. Eng. Manager ,10+ years,,,,30.0,64952825
Supervisory Border Patrol Agent,10+ years,,,,,65490576
Principal,2 years,,,,24.0,34441256
Officer,< 1 year,,,,,40070464
Director of Operations,2 years,,,,16.0,46041403
CH2M Hill,3 years,"  Borrower added on 07/08/11 > - I want to refinance my 401k loan in order to lower that monthly payment and to put that savings towards paying other debt.<br/>- In the last 20 years I have had several lines of credit, mortgages, auto loans, credit cards, etc. and have NEVER even been late with a payment or failed to pay off a debt.<br/>- My current job is very stable, and I've been with the same company for 3+ years. More and more work comes to our company every day, and we're actually hiring and not laying people off.<br/>",,,,1013142
Paralegal,1 year,,,,,26237386
,,,,,17.0,6059180
Instructional Supervisor,10+ years,,,,,58972693
Personal Trainer,3 years,,,,6.0,42883660
Executive Director Cokesbury Sales,10+ years,,,,,60938844
BCS Insurance group,3 years,,,,,719003
JMK Builders Inc.,7 years,"  Borrower added on 02/21/10 > With this loan I plan to payoff all my credit cards,and have one payment instead of 4.I'm trying to strenthen my credit rating and get rid of the debt.I pay on time every month and have a secure position at my employer.<br/>",,,31.0,621642
insurance agent ,< 1 year,  Borrower added on 10/25/13 > Trying to get rid of my debts. Made wrong decision with credit cards just trying to pay off my credit card and keep going with my life<br>,,,72.0,10307254
Director of Field Operations,10+ years,,,,,12777301
IT,6 years,,,,,31386983
IT Service Desk Tech,< 1 year,,,,,41372950
Aurora Public Schools,10+ years,  Borrower added on 05/09/11 > For the purchase of a 2004 VW GTI with 57000 miles. Car is in excellent condition.<br/>,,,32.0,943127
Partner,5 years,,,,,59689398
entry operator,10+ years,,,,,64363792
Specialty Pipe & Tube of Tx,9 years,,,,79.0,7011302
IA,8 years,,,,,59781754
Technical Consultant/Technician,10+ years,,,,41.0,29072408
Fire sprinkler technician ,2 years,,,,,61007826
facility operator,5 years,,,,,56650874
cashier,10+ years,,,,,17733426
driver,3 years,,,,9.0,49956917
Instructor,10+ years,,,,17.0,41393938
Project Manager,10+ years,,,,,53312774
,3 years,,,,23.0,9106726
Hospital Contracting Executive,9 years,,,,47.0,27939968
Environmental Specialist/Health Physicis,< 1 year,,,,,58759620
JETBLUE,2 years,,,,32.0,7841106
Ecolab,2 years,"  Borrower added on 11/16/10 > Have very stable employment with company I love- wife is also bringing in 38k/year - funds will  be used to pay money owed to irs and to pay of small debt - remainder to be saved- will be paying off in less than the 60mos- relatively soon, but need to free up some cash now.  Excellent credit history - both my wife and I have scores in the low 800's - we dont want to tap our home equity and would really appreciate your help in funding our loan.  Thank you again<br/>",,,69.0,790263
warehousemen,10+ years,,,,13.0,59440196
supervisor,7 years,,,,3.0,15090741
Attorney,10+ years,,,,,59703180
Aircraft Technician,3 years,,,,41.0,55487527
General Manager,8 years,,,,35.0,43192208
Sales Manager,3 years,,,,,71327929
Accountant,1 year,,,,,44028770
School Social Worker,7 years,,,,81.0,20658493
Director of Operations,10+ years,,,,47.0,27249224
,,,,,,25565730
Beef Brands LLC,10+ years,,,,44.0,1259686
,,,,,8.0,37747263
Beaver Grocery,8 years, ,,,,601164
Loan Originator,2 years,,,,,31396847
Advocate Health Network,10+ years,,,,24.0,7028330
business development manager,9 years,,,,,42495229
Superintendent,10+ years,,,95.7,,72458863
Area Livestock Inspector Supervisor,10+ years,,,,,41419436
Director,6 years,,,,31.0,44265495
HR Manager,7 years,,,,,65492780
General manager,4 years,,,,45.0,70388873
Office Represenative,1 year,,,,28.0,38508668
Teacher,10+ years,,,,,24644905
Biomedical Technician Supervisor,10+ years,,,,,23042603
Associate Attorney,4 years,,,,,69900644
Irdeto,4 years,,,,66.0,630921
Growth and Engagement Manager,2 years,,,98.3,,72048285
associate,4 years,,,,,31287092
ANA,10+ years,,,,5.0,71330338
Attorney,10+ years,,,,26.0,23703138
Senior Loan Officer,10+ years,,,,,31225879
RN,< 1 year,,,,,49747289
Associate Administrator,10+ years,,,,,45310263
LPN Care Manager,7 years,,,,,34110777
Teacher,10+ years,,,,,15930487
Maintenance,7 years,,,,71.0,67731114
"Western Cooling and Logistics, LLC",9 years,  Borrower added on 03/18/13 > First I would like to thank the members for considering my request. My goal is to pay off my high interest credit cards and reduce my monthly car payment by paying down the principal balance. This loan would allow me to put my financial house in order by have one fixed monthly payment to make.<br>,,,20.0,4846854
,10+ years,,,,,10586993
Technical project manager,10+ years,  Borrower added on 12/19/13 > Debt consolidation<br>,,,,11476918
A/R Representative,2 years,,,,,46485998
SCPT,7 years,,,,,45670838
Senior Analyst,1 year,,,,15.0,32318130
Category Manager,3 years,,,,,43797294
,,,,,,14521471
Inventory Coordinator,8 years,,,,,18314026
teacher,10+ years,,,,10.0,58832458
UPS,10+ years,  Borrower added on 12/25/12 > My loan is to payoff high interest credit cards and back taxes. I am just trying to get ahead and hopefully you can help.<br>,,,23.0,3418443
Physician Assistant,6 years,,,,,24765111
production supervisor,10+ years,,,,5.0,64905422
Dept. Secretary,10+ years,,,,22.0,71448858
operator,6 years,,,,16.0,14298592
Psychologist/Co-Owner ,5 years,,,56.0,54.0,72419693
"Falco Design Inc,",4 years,  Borrower added on 06/16/12 > I just bought my place in cash and I don't have any loan on it. I need this fund just to improve the home<br>,,,,1598435
blow mold operator,5 years,,,87.3,76.0,72519579
Driver,9 years,,,,,18313461
Utilities Superintendent,10+ years,,,,7.0,60577191
Meat Manager,10+ years,,,,42.0,35874442
Chris Hawley Construction,10+ years,  Borrower added on 08/31/11 > For a healthy Water Purification System.<br/>,,,,1083633
IBM,1 year,,,,,8429092
Dupre' Logistics,10+ years,,,,71.0,7689535
Table games dealer,2 years,,,,,58651586
leituant,10+ years,,,,43.0,42455995
Balloon Promotions,10+ years,,,,33.0,1108462
management,6 years,,,,15.0,59659522
owner,10+ years,,,,10.0,16460808
,,,,,,41075334
Operations Asst,10+ years,,,,62.0,48442444
Mechanical design Lead,8 years,,,,9.0,59692654
,,,,,,53805217
Infant Teacher,2 years,,,,,26527818
Office Manager,10+ years,,,62.3,75.0,72126993
Admissions specialist,10+ years,,,,61.0,64865232
Construction Manager,2 years,,,,,27118539
President,10+ years,,,,8.0,22139692
Teacher,2 years,,,,,42242997
Senior administrative assistant,10+ years,,,,,35042827
Head Teller,7 years,,,,,26106215
Assistant Store Manager,6 years,,,,,31055747
Field Engineer,8 years,,,,64.0,58649476
Music Director,< 1 year,,,,43.0,70304663
President,10+ years,,,,45.0,47112788
AAA New Jersey Automobile Club,4 years,  Borrower added on 10/13/11 > Hurricane Irene ruined our basement! We need to install an internal french drain &amp; sump pump system to prevent future damage. Thank you!<br/>,,,,1195776
"Jarvis Surgical, Inc.",1 year,,,,,1038075
Production Foreman,10+ years,,,,,30164435
Operations Manager,5 years,,,,47.0,53302952
Chief Operating Officer and Executive VP,2 years,,,,,10309903
Portfolio Manager,9 years,,,,26.0,12617837
Bus operaror,5 years,,,,59.0,68377962
Account Executive ,1 year,,,,59.0,55427837
owner,8 years,,,,79.0,68860467
Executive Assistant,< 1 year,,,,,57515540
Teller Supervisor,6 years,,,,,33770870
Industrial Engineer,10+ years,  Borrower added on 03/17/14 > Pay off high interest credit cards which will help me towards eliminating credit card debt.<br>,,,,14979461
Evangelical Bethlehem Lutheran School,< 1 year,"  Borrower added on 02/22/10 > I want to consolidate all my CC bills into one payment ($6K). I currently pay more than min. required (average $1,200 pmt on CC payments when my total required is approx. $300) on my bills but it's hard when they are scattered throughout the months. <br/><br/>I also have some medical bills for my 19mo old when she was a few months old that I can use this money to pay off ($800).<br/><br/>In addition, I am going to use some of this money to take a dream vacation that is long overdue (5 years since I taken a real vacation). And I want to save the rest for some for emergencies. <br/><br/>I have not been in my current job that long because it was an opportunity to move to a higher position in the field of childcare. My previous job as an Assistant Director, I have attained that for almost 5 years.<br/><br/>Thank you in advance for all who have helped in funding my loan. I greatly appreciate it.<br/> Borrower added on 02/24/10 > I want to add that my CC amount is not because of random spending. Majority (75%+) of the balance is from my husbands IRS taxes. Before I met him, his tax person was supposed to get an extension on taxes he owed for his business. Two years into our marriage we find out that he never got the extension and we owed almost doubled in back taxes. We have managed to pay over $12k in the last 3 years and decided to put the rest on my cards because they kept on assessing fees every month even when we worked out monthly payments with them. I just want to finish paying the taxes and move on. This is why we weren't able to take a vacation (no wedding ceremony or honeymoon when we got married, eventhough I wanted one, but I'll just keep quiet until we have settled the tax issue).<br/><br/>My husband income varies every month. He makes between $3K-5K a month as a freelance artist (illustrator). My only responsiblity is our rent of $1495/mo and whatever bills I have ($300/mo not including the taxes on my CC). My husband takes care of the rest of the monthly spending).<br/>",,,,622140
Telecom Engineer,8 years,  Borrower added on 02/25/14 > Debt Consolidation<br>,,,,14487531
Manager of Digital Operations,1 year,,,,3.0,49982225
Shift Lead,10+ years,,,,46.0,30054188
usps,10+ years,,,,13.0,8762297
